Format Version,1.23,Take Name,Take 2019-12-11 12.48.57 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-11 12.48.57.345 下午,Total Frames in Take,1833,Total Exported Frames,1833,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.003046,0.005338,-0.001456,-0.999980,0.029163,0.091049,0.017144,0.000195,0.040137,0.091064,0.074554,0.932853,0.081939,0.092210,-0.010675,0.937509,-0.034586,0.089872,-0.012447,0.972252,0.040270,0.091067,0.074352,0.081923,0.092208,-0.010443,-0.034698,0.089870,-0.012474,0.437990,0.088510,-0.358148,0.148200,0.063137,0.089181,0.162009,0.089326,0.097401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.002822,0.004742,-0.000615,-0.999985,0.029157,0.090959,0.017034,0.000123,0.040199,0.090981,0.074431,0.939504,0.081901,0.092019,-0.010849,0.941694,-0.034630,0.089876,-0.012480,0.971180,0.040258,0.090982,0.074295,0.081917,0.092019,-0.010715,-0.034704,0.089875,-0.012477,0.437934,0.089512,-0.359042,0.147185,0.062289,0.089057,0.163982,0.085285,0.096221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.003602,0.005326,-0.001423,-0.999978,0.029157,0.091024,0.017126,0.000211,0.040132,0.090975,0.074535,0.932214,0.081932,0.092213,-0.010693,0.937045,-0.034594,0.089884,-0.012464,0.972493,0.040254,0.090978,0.074293,0.081925,0.092212,-0.010442,-0.034704,0.089882,-0.012471,,,,0.148243,0.063167,0.089175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.003479,0.005310,-0.001476,-0.999979,0.029146,0.091014,0.017123,0.000207,0.040123,0.090980,0.074533,0.932110,0.081921,0.092202,-0.010698,0.935716,-0.034605,0.089860,-0.012464,0.971198,0.040256,0.090984,0.074296,0.081908,0.092200,-0.010441,-0.034719,0.089858,-0.012480,0.437928,0.089492,-0.359062,0.148245,0.063181,0.089169,0.166598,0.081205,0.094863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,,,,,,,,,,,,,,,,,,,,,0.040336,0.090937,0.074342,0.081911,0.092194,-0.010435,-0.034696,0.089869,-0.012469,,,,0.149557,0.065769,0.089464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.003061,0.005332,-0.001494,-0.999980,0.029167,0.091047,0.017143,0.000195,0.040142,0.091062,0.074552,0.939161,0.081943,0.092213,-0.010677,0.941519,-0.034583,0.089867,-0.012447,0.970924,0.040273,0.091065,0.074347,0.081930,0.092212,-0.010444,-0.034696,0.089865,-0.012472,0.437983,0.088541,-0.358148,0.149486,0.065665,0.089440,0.166580,0.081255,0.094861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.002987,0.005312,-0.001397,-0.999981,0.029159,0.091042,0.017148,0.000195,0.040136,0.091062,0.074558,0.937628,0.081934,0.092193,-0.010674,0.939734,-0.034592,0.089869,-0.012439,0.972161,0.040275,0.091066,0.074351,0.081907,0.092192,-0.010434,-0.034699,0.089867,-0.012468,,,,0.148222,0.063137,0.089174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.002813,0.005354,-0.001395,-0.999981,0.029154,0.091051,0.017151,0.000188,0.040126,0.091091,0.074561,0.940822,0.081931,0.092192,-0.010667,0.942793,-0.034595,0.089868,-0.012441,0.972787,0.040259,0.091095,0.074365,0.081907,0.092191,-0.010440,-0.034700,0.089866,-0.012470,0.437922,0.089512,-0.359046,0.148240,0.063202,0.089178,0.166532,0.081347,0.094873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.003985,0.005161,-0.001381,-0.999978,0.029178,0.090995,0.017139,0.000226,0.040172,0.090901,0.074544,0.932025,0.081944,0.092201,-0.010697,0.933522,-0.034583,0.089883,-0.012431,0.966551,0.040338,0.090906,0.074329,0.081911,0.092199,-0.010433,-0.034709,0.089881,-0.012476,0.437934,0.089497,-0.359043,0.148365,0.064823,0.089318,0.161817,0.089326,0.097356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.003073,0.005304,-0.001515,-0.999980,0.029156,0.091044,0.017144,0.000212,0.040134,0.091057,0.074553,0.940116,0.081930,0.092212,-0.010679,0.941778,-0.034595,0.089861,-0.012443,0.965753,0.040271,0.091061,0.074356,0.081932,0.092212,-0.010446,-0.034728,0.089858,-0.012475,0.437987,0.088540,-0.358151,0.149544,0.065735,0.089456,0.162952,0.087375,0.098222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.003079,0.005334,-0.001425,-0.999980,0.029164,0.091052,0.017140,0.000194,0.040138,0.091062,0.074549,0.940116,0.081940,0.092211,-0.010680,0.941778,-0.034586,0.089881,-0.012450,0.965753,0.040271,0.091066,0.074351,0.081924,0.092210,-0.010450,-0.034699,0.089879,-0.012479,,,,0.149561,0.065775,0.089459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
