Format Version,1.23,Take Name,Take 2019-12-12 12.36.13 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-12 12.36.47.513 下午,Total Frames in Take,889,Total Exported Frames,889,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.508084,0.524740,-0.447684,0.515827,0.242927,1.204490,0.139781,0.000099,0.248770,1.148400,0.124417,0.973912,0.243849,1.236522,0.089445,0.980617,0.236163,1.228549,0.205480,0.987136,-0.482569,-0.357397,0.529988,-0.598754,0.263758,0.983136,0.161297,0.000232,0.266475,0.938589,0.142756,0.899465,0.260107,0.941470,0.173082,0.958541,0.276000,1.009937,0.110720,0.926045,0.252451,1.042550,0.218630,0.983816,-0.480053,-0.499972,0.535128,-0.482923,0.241553,0.781790,0.217239,0.000888,0.239807,0.804766,0.138941,0.899866,0.240036,0.738117,0.255767,0.834919,0.244816,0.802486,0.257009,0.756318,0.266463,0.938361,0.143082,0.260083,0.941458,0.172920,0.276011,1.010212,0.110618,0.252473,1.042511,0.218583,0.239827,0.804796,0.139343,0.239993,0.737441,0.255930,0.244841,0.803242,0.256323,0.248760,1.148505,0.124432,0.243857,1.236461,0.089404,0.236164,1.228504,0.205506,0.745216,0.944786,-1.221762,1.281859,0.795871,0.187698
7,0.058333,0.508132,0.524691,-0.447743,0.515778,0.242948,1.204488,0.139800,0.000095,0.248779,1.148397,0.124436,0.973313,0.243875,1.236519,0.089464,0.981645,0.236189,1.228549,0.205499,0.987175,-0.482599,-0.357353,0.530017,-0.598731,0.263746,0.983142,0.161317,0.000231,0.266459,0.938594,0.142777,0.900497,0.260089,0.941477,0.173103,0.958871,0.275993,1.009940,0.110740,0.926599,0.252444,1.042558,0.218650,0.983637,-0.480155,-0.499864,0.535168,-0.482890,0.241500,0.781783,0.217258,0.000891,0.239771,0.804758,0.138959,0.899118,0.239965,0.738111,0.255787,0.826067,0.244763,0.802479,0.257027,0.744678,0.266446,0.938356,0.143096,0.260068,0.941454,0.172932,0.276004,1.010215,0.110642,0.252465,1.042538,0.218613,0.239791,0.804789,0.139361,0.239923,0.737433,0.255952,0.244789,0.803236,0.256338,0.248770,1.148496,0.124447,0.243883,1.236460,0.089422,0.236190,1.228509,0.205530,0.745248,0.944828,-1.221770,1.281857,0.795874,0.187686
8,0.066667,0.508214,0.524616,-0.447774,0.515747,0.242970,1.204485,0.139816,0.000098,0.248790,1.148393,0.124452,0.973856,0.243908,1.236517,0.089480,0.981840,0.236210,1.228546,0.205515,0.987222,-0.482656,-0.357327,0.529900,-0.598805,0.263730,0.983125,0.161335,0.000226,0.266454,0.938578,0.142793,0.901814,0.260076,0.941458,0.173117,0.958554,0.275985,1.009928,0.110762,0.926835,0.252404,1.042536,0.218667,0.991081,-0.480242,-0.499732,0.535251,-0.482848,0.241458,0.781778,0.217280,0.000889,0.239745,0.804745,0.138978,0.899154,0.239905,0.738110,0.255813,0.825936,0.244724,0.802477,0.257047,0.744715,0.266441,0.938347,0.143110,0.260054,0.941442,0.172954,0.276002,1.010194,0.110642,0.252421,1.042513,0.218645,0.239765,0.804777,0.139380,0.239862,0.737435,0.255978,0.244750,0.803230,0.256358,0.248780,1.148496,0.124466,0.243916,1.236457,0.089439,0.236212,1.228502,0.205541,0.745212,0.944792,-1.221770,1.281852,0.795865,0.187707
9,0.075000,0.508190,0.524573,-0.447919,0.515689,0.242999,1.204483,0.139820,0.000085,0.248804,1.148387,0.124464,0.976455,0.243936,1.236507,0.089480,0.984796,0.236258,1.228556,0.205517,0.989702,-0.482654,-0.357265,0.530065,-0.598697,0.263738,0.983111,0.161340,0.000233,0.266442,0.938562,0.142801,0.901038,0.260070,0.941447,0.173127,0.959734,0.275995,1.009905,0.110763,0.925502,0.252443,1.042531,0.218669,0.984353,-0.480360,-0.499624,0.535275,-0.482816,0.241426,0.781775,0.217306,0.000891,0.239733,0.804744,0.139005,0.899683,0.239854,0.738108,0.255839,0.825148,0.244691,0.802473,0.257075,0.744726,0.266429,0.938335,0.143126,0.260047,0.941429,0.172968,0.276008,1.010183,0.110656,0.252465,1.042493,0.218625,0.239753,0.804777,0.139404,0.239811,0.737430,0.256007,0.244717,0.803227,0.256386,0.248796,1.148480,0.124477,0.243943,1.236453,0.089453,0.236260,1.228517,0.205532,0.745246,0.944835,-1.221781,1.281857,0.795858,0.187681
10,0.083333,,,,,,,,,,,,,,,,,,,,,-0.482700,-0.357233,0.529952,-0.598779,0.263727,0.983108,0.161369,0.000223,0.266443,0.938559,0.142830,0.903814,0.260063,0.941442,0.173154,0.959610,0.275993,1.009905,0.110796,0.927681,0.252409,1.042524,0.218697,0.991189,-0.480432,-0.499488,0.535383,-0.482764,0.241397,0.781764,0.217336,0.000889,0.239716,0.804723,0.139031,0.900634,0.239807,0.738103,0.255874,0.824806,0.244667,0.802467,0.257101,0.745873,0.266434,0.938334,0.143142,0.260039,0.941426,0.172995,0.276009,1.010166,0.110674,0.252425,1.042500,0.218677,0.239736,0.804757,0.139426,0.239763,0.737424,0.256042,0.244694,0.803219,0.256418,0.248815,1.148475,0.124490,0.243960,1.236439,0.089460,0.236276,1.228509,0.205541,0.745251,0.944844,-1.221775,1.281839,0.795905,0.187715
11,0.091667,-0.508200,-0.524520,0.447939,-0.515714,0.243027,1.204465,0.139839,0.000089,0.248829,1.148368,0.124488,0.975066,0.243969,1.236485,0.089496,0.984062,0.236282,1.228544,0.205534,0.989471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266425,0.938321,0.143157,0.260031,0.941405,0.173010,0.276014,1.010139,0.110679,0.252459,1.042508,0.218669,0.239724,0.804749,0.139456,0.239741,0.737417,0.256071,0.244664,0.803190,0.256458,0.248820,1.148466,0.124501,0.243976,1.236427,0.089470,0.236285,1.228504,0.205547,0.745246,0.944828,-1.221780,1.281852,0.795868,0.187695
12,0.100000,-0.508198,-0.524506,0.447983,-0.515693,0.243036,1.204449,0.139843,0.000087,0.248833,1.148350,0.124494,0.975624,0.243978,1.236466,0.089499,0.984381,0.236297,1.228530,0.205537,0.989541,-0.482726,-0.357170,0.530006,-0.598748,0.263727,0.983069,0.161391,0.000219,0.266436,0.938519,0.142853,0.905576,0.260056,0.941405,0.173177,0.961862,0.276000,1.009862,0.110817,0.927995,0.252418,1.042490,0.218716,0.987137,-0.479680,-0.499873,0.534956,-0.483587,0.241421,0.781788,0.217410,0.000846,0.239690,0.804689,0.139090,0.901131,0.239935,0.738149,0.255978,0.835607,0.244639,0.802525,0.257162,0.759228,0.266432,0.938309,0.143168,0.260025,0.941392,0.173028,0.276015,1.010120,0.110691,0.252437,1.042451,0.218688,0.239710,0.804736,0.139482,0.239897,0.737518,0.256159,0.244659,0.803204,0.256479,0.248824,1.148446,0.124507,0.243985,1.236410,0.089472,0.236299,1.228491,0.205551,0.745249,0.944821,-1.221768,1.281856,0.795885,0.187699
13,0.108333,-0.508174,-0.524528,0.447994,-0.515685,0.243048,1.204431,0.139844,0.000088,0.248846,1.148332,0.124494,0.975758,0.243985,1.236448,0.089499,0.984336,0.236312,1.228513,0.205537,0.989344,-0.482704,-0.357107,0.530032,-0.598780,0.263726,0.983048,0.161410,0.000213,0.266434,0.938496,0.142879,0.907867,0.260052,0.941386,0.173202,0.961841,0.276002,1.009833,0.110832,0.930637,0.252416,1.042478,0.218725,0.987512,-0.480386,-0.499443,0.535513,-0.482714,0.241361,0.781739,0.217424,0.000889,0.239670,0.804685,0.139116,0.901400,0.239770,0.738085,0.255971,0.824441,0.244642,0.802448,0.257186,0.746847,0.266430,0.938292,0.143186,0.260022,0.941372,0.173053,0.276015,1.010084,0.110715,0.252435,1.042442,0.218697,0.239690,0.804722,0.139508,0.239727,0.737406,0.256143,0.244668,0.803196,0.256504,0.248837,1.148428,0.124508,0.243992,1.236393,0.089470,0.236314,1.228473,0.205553,0.745238,0.944811,-1.221755,1.281864,0.795897,0.187683
14,0.116667,-0.508143,-0.524499,0.448073,-0.515676,0.243054,1.204404,0.139841,0.000089,0.248846,1.148303,0.124499,0.975424,0.243991,1.236415,0.089492,0.983709,0.236327,1.228495,0.205532,0.989141,-0.482567,-0.357093,0.530264,-0.598693,0.263730,0.983027,0.161417,0.000216,0.266418,0.938468,0.142896,0.909041,0.260050,0.941369,0.173221,0.959818,0.275993,1.009795,0.110827,0.932898,0.252461,1.042475,0.218721,0.986523,-0.480302,-0.499423,0.535497,-0.482835,0.241357,0.781723,0.217464,0.000884,0.239667,0.804653,0.139151,0.902789,0.239773,0.738077,0.256019,0.824884,0.244631,0.802441,0.257222,0.749702,0.266419,0.938272,0.143202,0.260017,0.941345,0.173065,0.276001,1.010043,0.110726,0.252484,1.042443,0.218684,0.239686,0.804693,0.139537,0.239730,0.737400,0.256195,0.244657,0.803178,0.256545,0.248837,1.148400,0.124511,0.243998,1.236357,0.089461,0.236328,1.228456,0.205551,0.745242,0.944819,-1.221770,1.281854,0.795920,0.187720
15,0.125000,-0.508143,-0.524473,0.448161,-0.515626,0.243059,1.204379,0.139836,0.000091,0.248840,1.148275,0.124497,0.975299,0.243994,1.236385,0.089485,0.983104,0.236342,1.228475,0.205527,0.988942,-0.482529,-0.357086,0.530310,-0.598688,0.263735,0.982999,0.161423,0.000213,0.266419,0.938439,0.142906,0.910543,0.260054,0.941342,0.173231,0.960778,0.275995,1.009763,0.110831,0.933382,0.252473,1.042452,0.218724,0.986177,-0.479458,-0.499818,0.535164,-0.483634,0.241425,0.781742,0.217526,0.000861,0.239667,0.804602,0.139195,0.904469,0.239952,0.738123,0.256118,0.830230,0.244657,0.802500,0.257266,0.759375,0.266422,0.938246,0.143207,0.260020,0.941318,0.173080,0.276002,1.010010,0.110731,0.252495,1.042420,0.218686,0.239688,0.804662,0.139572,0.239914,0.737476,0.256319,0.244676,0.803177,0.256583,0.248831,1.148373,0.124507,0.244002,1.236326,0.089453,0.236344,1.228437,0.205549,0.745231,0.944800,-1.221767,1.281841,0.795851,0.187682
