Format Version,1.23,Take Name,Take 2019-12-12 12.36.13 PM_005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-12 12.37.56.853 下午,Total Frames in Take,638,Total Exported Frames,638,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.517904,-0.509234,0.437832,-0.529867,0.248275,1.198743,0.098810,0.000156,0.254674,1.142517,0.084181,0.953227,0.251800,1.230380,0.048340,0.960184,0.238351,1.223332,0.163910,0.988455,-0.485994,-0.316720,0.540556,-0.609342,0.263668,0.978420,0.126320,0.000232,0.265295,0.932800,0.110449,0.903099,0.257599,0.937693,0.140205,0.907039,0.279526,1.001718,0.075018,0.981795,0.252253,1.041468,0.179607,0.987315,-0.517116,-0.451504,0.507552,-0.520698,0.227332,0.782121,0.193537,0.000647,0.237779,0.803082,0.115351,0.917652,0.219249,0.739489,0.232411,0.874051,0.224969,0.803792,0.232848,0.821183,0.265144,0.932609,0.110752,0.257742,0.937857,0.139903,0.279556,1.001778,0.074987,0.252231,1.041436,0.179637,0.237740,0.803147,0.115756,0.219193,0.739068,0.232576,0.225078,0.804211,0.232196,0.254664,1.142704,0.084137,0.251814,1.230221,0.048336,0.238347,1.223306,0.163956,0.745277,0.944825,-1.221756,1.281859,0.795869,0.187695,,,,,,
7,0.058333,-0.517851,-0.509204,0.437841,-0.529941,0.248281,1.198720,0.098838,0.000150,0.254685,1.142493,0.084219,0.951922,0.251806,1.230349,0.048363,0.960027,0.238351,1.223319,0.163932,0.986705,-0.486035,-0.316703,0.540540,-0.609332,0.263674,0.978407,0.126342,0.000230,0.265300,0.932788,0.110469,0.902889,0.257603,0.937680,0.140225,0.907112,0.279537,1.001707,0.075042,0.981741,0.252257,1.041453,0.179632,0.987810,-0.517179,-0.451473,0.507424,-0.520788,0.227330,0.782114,0.193574,0.000653,0.237797,0.803080,0.115392,0.897025,0.219240,0.739478,0.232444,0.886097,0.224951,0.803782,0.232886,0.804261,0.265149,0.932595,0.110769,0.257745,0.937841,0.139926,0.279566,1.001768,0.075013,0.252236,1.041422,0.179660,0.237759,0.803148,0.115801,0.219184,0.739055,0.232613,0.225062,0.804201,0.232222,0.254675,1.142670,0.084182,0.251819,1.230203,0.048352,0.238348,1.223291,0.163977,0.745275,0.944831,-1.221766,1.281865,0.795883,0.187703,,,,,,
8,0.066667,-0.517909,-0.509196,0.437827,-0.529903,0.248283,1.198707,0.098846,0.000158,0.254683,1.142480,0.084221,0.951614,0.251813,1.230341,0.048375,0.960221,0.238353,1.223299,0.163943,0.986632,-0.486058,-0.316728,0.540577,-0.609268,0.263686,0.978385,0.126361,0.000236,0.265306,0.932767,0.110483,0.902783,0.257611,0.937657,0.140240,0.908735,0.279546,1.001688,0.075062,0.980517,0.252280,1.041427,0.179657,0.986678,-0.517190,-0.451439,0.507306,-0.520921,0.227332,0.782099,0.193603,0.000664,0.237818,0.803063,0.115424,0.898502,0.219241,0.739464,0.232473,0.881240,0.224938,0.803769,0.232913,0.801755,0.265153,0.932583,0.110790,0.257753,0.937822,0.139947,0.279577,1.001753,0.075032,0.252260,1.041381,0.179676,0.237781,0.803138,0.115821,0.219182,0.739029,0.232654,0.225049,0.804192,0.232252,0.254673,1.142669,0.084180,0.251827,1.230182,0.048369,0.238350,1.223271,0.163989,0.745255,0.944818,-1.221763,1.281849,0.795867,0.187709,,,,,,
9,0.075000,-0.517866,-0.509155,0.437906,-0.529919,0.248291,1.198676,0.098868,0.000141,0.254686,1.142446,0.084252,0.956733,0.251820,1.230301,0.048390,0.963983,0.238366,1.223281,0.163961,0.987471,-0.486043,-0.316749,0.540593,-0.609255,0.263691,0.978374,0.126386,0.000233,0.265310,0.932757,0.110508,0.904277,0.257618,0.937646,0.140265,0.909568,0.279549,1.001678,0.075086,0.980748,0.252289,1.041416,0.179683,0.985894,-0.517198,-0.451376,0.507339,-0.520934,0.227348,0.782085,0.193634,0.000665,0.237840,0.803041,0.115452,0.898942,0.219250,0.739455,0.232507,0.880835,0.224953,0.803760,0.232941,0.801988,0.265153,0.932573,0.110805,0.257763,0.937816,0.139981,0.279581,1.001741,0.075056,0.252268,1.041367,0.179702,0.237803,0.803115,0.115848,0.219191,0.739018,0.232687,0.225064,0.804185,0.232282,0.254677,1.142614,0.084213,0.251832,1.230157,0.048385,0.238363,1.223258,0.164005,0.745277,0.944851,-1.221768,1.281865,0.795849,0.187693,,,,,,
10,0.083333,-0.518549,-0.508464,0.438697,-0.529260,0.248224,1.198619,0.098877,0.000096,0.254458,1.142371,0.084261,0.970885,0.251835,1.230233,0.048399,0.974770,0.238380,1.223252,0.163971,0.988872,-0.486047,-0.316772,0.540635,-0.609203,0.263700,0.978351,0.126418,0.000220,0.265313,0.932734,0.110538,0.907576,0.257624,0.937623,0.140296,0.915911,0.279554,1.001656,0.075118,0.978886,0.252308,1.041391,0.179720,0.987048,-0.516777,-0.451645,0.506170,-0.522255,0.227304,0.782092,0.193679,0.000649,0.237861,0.803045,0.115505,0.906970,0.219278,0.739455,0.232559,0.879235,0.224773,0.803778,0.232972,0.811232,0.265163,0.932555,0.110824,0.257760,0.937776,0.140029,0.279586,1.001727,0.075086,0.252289,1.041345,0.179735,0.237825,0.803104,0.115871,0.219221,0.739001,0.232714,0.224879,0.804230,0.232377,0.254453,1.142483,0.084228,0.251844,1.230134,0.048388,0.238376,1.223240,0.164014,0.745243,0.944783,-1.221749,1.281875,0.795846,0.187672,,,,,,
11,0.091667,-0.517918,-0.509043,0.437967,-0.529925,0.248308,1.198633,0.098883,0.000133,0.254692,1.142400,0.084275,0.959084,0.251849,1.230251,0.048403,0.965031,0.238382,1.223247,0.163972,0.986747,-0.486086,-0.316734,0.540605,-0.609218,0.263707,0.978324,0.126438,0.000227,0.265322,0.932707,0.110557,0.909387,0.257629,0.937596,0.140314,0.919087,0.279568,1.001629,0.075140,0.978246,0.252309,1.041363,0.179739,0.982880,-0.517113,-0.451480,0.507184,-0.521080,0.227388,0.782054,0.193686,0.000662,0.237877,0.803015,0.115506,0.900698,0.219308,0.739419,0.232558,0.880456,0.224979,0.803727,0.232993,0.804044,0.265172,0.932545,0.110844,0.257761,0.937749,0.140062,0.279599,1.001706,0.075113,0.252293,1.041297,0.179736,0.237841,0.803092,0.115894,0.219249,0.738982,0.232742,0.225089,0.804147,0.232341,0.254684,1.142558,0.084231,0.251862,1.230112,0.048395,0.238377,1.223230,0.164022,0.745247,0.944804,-1.221758,1.281864,0.795857,0.187688,,,,,,
12,0.100000,-0.517985,-0.508946,0.437903,-0.530006,0.248313,1.198620,0.098895,0.000130,0.254700,1.142386,0.084291,0.959814,0.251871,1.230236,0.048415,0.965612,0.238368,1.223237,0.163981,0.987003,-0.486143,-0.316677,0.540571,-0.609232,0.263712,0.978311,0.126464,0.000228,0.265328,0.932694,0.110583,0.908258,0.257630,0.937583,0.140339,0.918180,0.279582,1.001616,0.075169,0.978272,0.252307,1.041350,0.179764,0.983437,-0.517102,-0.451428,0.507183,-0.521137,0.227403,0.782042,0.193713,0.000674,0.237899,0.802994,0.115531,0.901550,0.219320,0.739412,0.232590,0.877298,0.224990,0.803720,0.233018,0.802384,0.265172,0.932533,0.110874,0.257767,0.937732,0.140082,0.279614,1.001692,0.075142,0.252290,1.041286,0.179761,0.237864,0.803076,0.115915,0.219259,0.738965,0.232783,0.225101,0.804145,0.232360,0.254693,1.142541,0.084247,0.251883,1.230099,0.048408,0.238363,1.223220,0.164030,0.745239,0.944797,-1.221759,1.281859,0.795826,0.187676,,,,,,
13,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265188,0.932525,0.110888,0.257774,0.937725,0.140106,0.279621,1.001684,0.075163,0.252279,1.041275,0.179773,0.237886,0.803071,0.115944,0.219270,0.738965,0.232816,0.225109,0.804147,0.232387,0.254482,1.142439,0.084269,0.251897,1.230072,0.048413,0.238321,1.223206,0.164076,0.745262,0.944822,-1.221763,1.281839,0.795864,0.187702,,,,,,
14,0.116667,-0.518102,-0.508839,0.437712,-0.530153,0.248315,1.198593,0.098919,0.000145,0.254716,1.142361,0.084314,0.956721,0.251898,1.230214,0.048443,0.961266,0.238331,1.223205,0.164001,0.980370,-0.485993,-0.316556,0.540505,-0.609473,0.263726,0.978267,0.126511,0.000250,0.265360,0.932643,0.110653,0.890086,0.257654,0.937544,0.140405,0.909830,0.279600,1.001552,0.075208,0.966601,0.252290,1.041330,0.179777,0.986032,-0.517054,-0.451339,0.507053,-0.521387,0.227415,0.782037,0.193774,0.000677,0.237936,0.802971,0.115590,0.902440,0.219331,0.739415,0.232659,0.876043,0.224979,0.803725,0.233071,0.802520,0.265214,0.932391,0.110983,0.257779,0.937722,0.140118,0.279630,1.001678,0.075174,0.252280,1.041275,0.179776,0.237901,0.803056,0.115970,0.219269,0.738965,0.232857,0.225089,0.804150,0.232414,0.254709,1.142526,0.084261,0.251914,1.230062,0.048418,0.238322,1.223191,0.164078,0.745271,0.944863,-1.221766,1.281856,0.795848,0.187699,,,,,,
15,0.125000,-0.518074,-0.508845,0.437754,-0.530139,0.248321,1.198588,0.098917,0.000146,0.254719,1.142355,0.084315,0.955980,0.251901,1.230206,0.048439,0.960290,0.238343,1.223203,0.163998,0.979827,-0.486014,-0.316514,0.540501,-0.609482,0.263728,0.978265,0.126515,0.000249,0.265362,0.932640,0.110659,0.888967,0.257654,0.937542,0.140410,0.910237,0.279607,1.001548,0.075212,0.965201,0.252291,1.041329,0.179778,0.986006,-0.516644,-0.451493,0.505856,-0.522821,0.227353,0.782066,0.193823,0.000654,0.237959,0.802981,0.115646,0.911415,0.219330,0.739444,0.232722,0.875771,0.224770,0.803772,0.233101,0.813985,0.265214,0.932384,0.110989,0.257778,0.937721,0.140124,0.279639,1.001678,0.075174,0.252279,1.041274,0.179778,0.237926,0.803052,0.115992,0.219271,0.738982,0.232895,0.224874,0.804216,0.232513,0.254713,1.142522,0.084257,0.251917,1.230050,0.048415,0.238334,1.223192,0.164078,0.745260,0.944818,-1.221769,1.281841,0.795837,0.187703,,,,,,
